donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter
Australia,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1
Australia,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1
Australia,2022-02,Military,2.6450594697537446,Funding for Weapon Acquisition Program,other_western,0,0,2022,2,1,0,1
Austria,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Austria,2022-02,Humanitarian,1.0417818828855834,Equipment,other,0,0,2022,2,1,0,1
Austria,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Belgium,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Belgium,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1
Belgium,2022-02,Military,76.0,Equipment | Weapons,other,0,0,2022,2,1,0,1
Bulgaria,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Bulgaria,2022-02,Humanitarian,0.0,Equipment,other,0,0,2022,2,1,0,1
Bulgaria,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Canada,2022-02,Financial,346.68774528157985,Loan,other_western,0,0,2022,2,1,0,1
Canada,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1
Canada,2022-02,Military,36.74890099984746,Equipment | Weapons,other_western,0,0,2022,2,1,0,1
China,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
China,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1
China,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Croatia,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Croatia,2022-02,Humanitarian,1.2078921816855672,Equipment,other,0,0,2022,2,1,0,1
Croatia,2022-02,Military,16.45919016802311,Weapons and equipment,other,0,0,2022,2,1,0,1
Cyprus,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Cyprus,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1
Cyprus,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Czechia,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Czechia,2022-02,Humanitarian,12.276365541060352,Assistance,frontline_adjacent,1,0,2022,2,1,0,1
Czechia,2022-02,Military,7.697549228225821,Weapons,frontline_adjacent,1,0,2022,2,1,0,1
Denmark,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Denmark,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1
Denmark,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Estonia,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Estonia,2022-02,Humanitarian,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Estonia,2022-02,Military,3.438577310679868,Equipment | Weapons,frontline_adjacent,1,0,2022,2,1,0,1
Finland,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Finland,2022-02,Humanitarian,2.0,Assistance,frontline_adjacent,1,0,2022,2,1,0,1
Finland,2022-02,Military,29.3,Weapons and equipment,frontline_adjacent,1,0,2022,2,1,0,1
France,2022-02,Financial,500.0,Loan,major_western,0,0,2022,2,1,0,1
France,2022-02,Humanitarian,0.0,,major_western,0,0,2022,2,1,0,1
France,2022-02,Military,0.0,,major_western,0,0,2022,2,1,0,1
Germany,2022-02,Financial,0.0,,major_western,0,0,2022,2,1,0,1
Germany,2022-02,Humanitarian,0.0,,major_western,0,0,2022,2,1,0,1
Germany,2022-02,Military,0.0,,major_western,0,0,2022,2,1,0,1
Greece,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Greece,2022-02,Humanitarian,0.0,Equipment,other,0,0,2022,2,1,0,1
Greece,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Hungary,2022-02,Financial,0.0,,reluctant,0,1,2022,2,1,0,1
Hungary,2022-02,Humanitarian,0.1754203440340683,Equipment,reluctant,0,1,2022,2,1,0,1
Hungary,2022-02,Military,0.0,,reluctant,0,1,2022,2,1,0,1
Iceland,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Iceland,2022-02,Humanitarian,1.0211986759630962,Contribution,other,0,0,2022,2,1,0,1
Iceland,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
India,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
India,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1
India,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Ireland,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Ireland,2022-02,Humanitarian,19.0,Assistance,other,0,0,2022,2,1,0,1
Ireland,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Italy,2022-02,Financial,110.0,Grant,reluctant,0,1,2022,2,1,0,1
Italy,2022-02,Humanitarian,1.0,Contribution,reluctant,0,1,2022,2,1,0,1
Italy,2022-02,Military,150.0,Weapons and equipment,reluctant,0,1,2022,2,1,0,1
Japan,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1
Japan,2022-02,Humanitarian,52.28400885213235,Assistance,other_western,0,0,2022,2,1,0,1
Japan,2022-02,Military,0.0,,other_western,0,0,2022,2,1,0,1
Latvia,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Latvia,2022-02,Humanitarian,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Latvia,2022-02,Military,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Lithuania,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
