donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter,infrastructure_attacks,Energy,Medical/Edu,Water,Battle Counts,Remote Attack,Deaths,Total Events,battlefield_events,infra_spike,infra_lag1,battle_lag1,infra_lag2,battle_lag2,infra_lag3,battle_lag3,infra_lag4,battle_lag4,infra_lag5,battle_lag5,infra_lag6,battle_lag6
Australia,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Australia,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Australia,2022-02,Military,2.6450594697537446,Funding for Weapon Acquisition Program,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Austria,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Austria,2022-02,Humanitarian,1.0417818828855834,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Austria,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Belgium,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Belgium,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Belgium,2022-02,Military,76.0,Equipment | Weapons,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Bulgaria,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Bulgaria,2022-02,Humanitarian,0.0,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Bulgaria,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Canada,2022-02,Financial,346.68774528157985,Loan,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Canada,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Canada,2022-02,Military,36.74890099984746,Equipment | Weapons,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
China,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
China,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
China,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Croatia,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
